,Date,Regular nums,Supplementary nums
232,12.08.2016,"[15, 6, 38, 21, 18]","[4, 1]"
233,05.08.2016,"[11, 12, 40, 5, 30]","[5, 2]"
234,29.07.2016,"[22, 8, 36, 4, 44]","[5, 10]"
235,22.07.2016,"[14, 26, 20, 6, 46]","[4, 2]"
236,15.07.2016,"[12, 38, 36, 50, 22]","[9, 2]"
237,08.07.2016,"[31, 21, 4, 42, 19]","[5, 10]"
238,01.07.2016,"[50, 47, 37, 29, 38]","[2, 4]"
239,24.06.2016,"[24, 19, 48, 21, 41]","[6, 1]"
240,17.06.2016,"[44, 16, 23, 18, 19]","[3, 1]"
241,10.06.2016,"[12, 26, 28, 37, 11]","[10, 8]"
242,03.06.2016,"[13, 32, 20, 47, 34]","[6, 9]"
243,27.05.2016,"[4, 48, 33, 10, 26]","[5, 9]"
244,20.05.2016,"[6, 23, 19, 33, 34]","[7, 4]"
245,13.05.2016,"[39, 7, 6, 36, 40]","[10, 1]"
246,06.05.2016,"[45, 24, 46, 12, 38]","[10, 6]"
247,29.04.2016,"[24, 10, 40, 14, 20]","[2, 10]"
248,22.04.2016,"[31, 5, 33, 49, 28]","[2, 1]"
249,15.04.2016,"[39, 46, 1, 17, 5]","[6, 7]"
250,08.04.2016,"[16, 1, 2, 31, 50]","[7, 1]"
251,01.04.2016,"[40, 49, 6, 21, 12]","[10, 8]"
252,25.03.2016,"[35, 9, 19, 20, 10]","[4, 3]"
253,18.03.2016,"[20, 10, 50, 35, 47]","[7, 4]"
254,11.03.2016,"[10, 31, 16, 40, 37]","[9, 3]"
255,04.03.2016,"[13, 2, 10, 5, 28]","[10, 3]"
256,26.02.2016,"[19, 45, 11, 42, 9]","[7, 10]"
257,19.02.2016,"[49, 12, 29, 10, 28]","[4, 3]"
258,12.02.2016,"[33, 21, 7, 41, 20]","[2, 1]"
259,05.02.2016,"[37, 25, 35, 43, 10]","[5, 8]"
260,29.01.2016,"[42, 40, 3, 32, 20]","[4, 9]"
261,22.01.2016,"[19, 3, 26, 36, 29]","[4, 9]"
262,15.01.2016,"[23, 25, 4, 39, 37]","[9, 1]"
263,08.01.2016,"[47, 1, 2, 24, 5]","[8, 3]"
264,01.01.2016,"[14, 35, 45, 11, 44]","[5, 6]"
265,25.12.2015,"[8, 36, 33, 34, 9]","[9, 3]"
266,18.12.2015,"[11, 27, 19, 32, 42]","[9, 5]"
267,11.12.2015,"[36, 37, 49, 39, 34]","[10, 8]"
268,04.12.2015,"[16, 34, 14, 26, 38]","[8, 2]"
269,27.11.2015,"[2, 26, 49, 13, 7]","[3, 4]"
270,20.11.2015,"[1, 36, 31, 18, 20]","[5, 9]"
271,13.11.2015,"[23, 49, 27, 19, 26]","[10, 3]"
272,06.11.2015,"[22, 24, 4, 2, 8]","[3, 9]"
273,30.10.2015,"[5, 15, 16, 37, 36]","[5, 3]"
274,23.10.2015,"[16, 36, 34, 49, 18]","[8, 6]"
275,16.10.2015,"[38, 11, 19, 42, 46]","[3, 9]"
